Species	Symbol	Gene_ID
Arabidopsis_thaliana	NF-YA7	AT1G30500
Arabidopsis_thaliana	NF-YA7	AT1G30500
Arabidopsis_thaliana	ABT1	AT1G30650
Arabidopsis_thaliana	PFA1	AT1G31050
Arabidopsis_thaliana	LBD4	AT1G31320
Arabidopsis_thaliana	AtbZIP68	AT1G32150
Arabidopsis_thaliana	ATHSFA1D	AT1G32330
Arabidopsis_thaliana	ANAC011	AT1G32510
Arabidopsis_thaliana	ATMYC2	AT1G32640
Arabidopsis_thaliana	MIS	AT1G32730
Arabidopsis_thaliana	ANAC012	AT1G32770
Arabidopsis_thaliana	ANAC013	AT1G32870
Arabidopsis_thaliana	ANAC013	AT1G32870
Arabidopsis_thaliana	ANAC014	AT1G33060
Arabidopsis_thaliana	ANAC014	AT1G33060
Arabidopsis_thaliana	AT-GTL1	AT1G33240
Arabidopsis_thaliana	ANAC015	AT1G33280
Arabidopsis_thaliana	anac016	AT1G34180
Arabidopsis_thaliana	anac016	AT1G34180
Arabidopsis_thaliana	anac017	AT1G34190
Arabidopsis_thaliana	CFLAP2	AT1G35460
Arabidopsis_thaliana	AtTCP23	AT1G35560
Arabidopsis_thaliana	LBD5	AT1G36000
Arabidopsis_thaliana	ATBZIP60	AT1G42990
Arabidopsis_thaliana	AtVIP1	AT1G43700
Arabidopsis_thaliana	GPL4	AT1G44810
Arabidopsis_thaliana	ABF2	AT1G45249
Arabidopsis_thaliana	ABF2	AT1G45249
Arabidopsis_thaliana	ABF2	AT1G45249
Arabidopsis_thaliana	AT-HSFB4	AT1G46264
Arabidopsis_thaliana	ATE2F2	AT1G47870
Arabidopsis_thaliana	ATE2F2	AT1G47870
Arabidopsis_thaliana	ABF1	AT1G49720
Arabidopsis_thaliana	ABF1	AT1G49720
Arabidopsis_thaliana	RGE1	AT1G49770
Arabidopsis_thaliana	SCL-3	AT1G50420
Arabidopsis_thaliana	SCL5	AT1G50600
Arabidopsis_thaliana	bHLH115	AT1G51070
Arabidopsis_thaliana	bHLH115	AT1G51070
Arabidopsis_thaliana	AKS1	AT1G51140
Arabidopsis_thaliana	GATA28	AT1G51600
Arabidopsis_thaliana	GATA28	AT1G51600
Arabidopsis_thaliana	ADOF1	AT1G51700
Arabidopsis_thaliana	FRS6	AT1G52520
Arabidopsis_thaliana	ANAC018	AT1G52880
Arabidopsis_thaliana	ANAC019	AT1G52890
Arabidopsis_thaliana	FTM6	AT1G53160
Arabidopsis_thaliana	FTM6	AT1G53160
Arabidopsis_thaliana	TCP3	AT1G53230
Arabidopsis_thaliana	ASIL1	AT1G54060
Arabidopsis_thaliana	NF-YA5	AT1G54160
Arabidopsis_thaliana	ANAC020	AT1G54330
Arabidopsis_thaliana	NF-YC3	AT1G54830
Arabidopsis_thaliana	NF-YC3	AT1G54830
Arabidopsis_thaliana	NF-YC3	AT1G54830
Arabidopsis_thaliana	LAS	AT1G55580
Arabidopsis_thaliana	ATWRKY10	AT1G55600
Arabidopsis_thaliana	anac021	AT1G56010
Arabidopsis_thaliana	anac021	AT1G56010
Arabidopsis_thaliana	ATHAP5B	AT1G56170
Arabidopsis_thaliana	ATHAP5B	AT1G56170
Arabidopsis_thaliana	AtTCP8	AT1G58100
Arabidopsis_thaliana	AtTCP8	AT1G58100
Arabidopsis_thaliana	ATBZIP4	AT1G59530
Arabidopsis_thaliana	BPE	AT1G59640
Arabidopsis_thaliana	BPE	AT1G59640
Arabidopsis_thaliana	ANAC023	AT1G60280
Arabidopsis_thaliana	anac024	AT1G60350
Arabidopsis_thaliana	anac025	AT1G61110
Arabidopsis_thaliana	AtbHLH112	AT1G61660
Arabidopsis_thaliana	AtbHLH112	AT1G61660
Arabidopsis_thaliana	AtbHLH112	AT1G61660
Arabidopsis_thaliana	AtbHLH112	AT1G61660
Arabidopsis_thaliana	ATWRKY6	AT1G62300
Arabidopsis_thaliana	ANAC026	AT1G62700
Arabidopsis_thaliana	SCL28	AT1G63100
Arabidopsis_thaliana	AtEGL3	AT1G63650
Arabidopsis_thaliana	AtEGL3	AT1G63650
Arabidopsis_thaliana	AtEGL3	AT1G63650
Arabidopsis_thaliana	ATWRKY56	AT1G64000
Arabidopsis_thaliana	ANAC027	AT1G64105
Arabidopsis_thaliana	NLP6	AT1G64530
Arabidopsis_thaliana	DOF1.8	AT1G64620
Arabidopsis_thaliana	AS2	AT1G65620
Arabidopsis_thaliana	AS2	AT1G65620
Arabidopsis_thaliana	AS2	AT1G65620
Arabidopsis_thaliana	AS2	AT1G65620
